chr,site1,pos1,site2,pos2,dist,corr,dist_corr,dist_1/corr
chr1,cg10037654,713921,cg14057946,713985,64,0.6250089856465587,40.00057508137976,102.3985278128335
chr1,cg10037654,713921,cg11422233,714002,81,0.5536362305096602,44.844534671282474,146.3054538996372
chr1,cg14057946,713985,cg11422233,714002,17,0.8930356002114226,15.181605203594184,19.036195193086723
chr1,cg16619049,805541,cg23100540,805554,13,-0.085546265549041,-1.112101452137533,-151.9645529417939
chr1,cg05151709,846155,cg08546707,846195,40,0.8874098069369515,35.49639227747806,45.075003326892364
chr1,cg22226438,854766,cg08029603,854824,58,0.7607794246359381,44.125206628884406,76.23760333391667
chr1,cg22226438,854766,cg16347928,854838,72,0.3219745987889104,23.182171112801548,223.62012491303355
chr1,cg08029603,854824,cg16347928,854838,14,0.3975412435613125,5.565577409858375,35.2164718170702
chr1,cg15105996,855445,cg02565062,855544,99,0.6283782438069306,62.209446136886136,157.54842083682607
chr1,cg09166659,861177,cg05527507,861265,88,-0.1637803496544361,-14.412670769590378,-537.3049952920067
chr1,cg05527507,861265,cg14324200,861317,52,0.8452081026955979,43.95082134017109,61.52330986198298
chr1,cg14156792,870958,cg24997886,871033,75,0.8654888124187721,64.91166093140791,86.65623278294993
chr1,cg14156792,870958,cg01727431,871057,99,0.9141433941038368,90.50019601627984,108.29810797577636
chr1,cg24997886,871033,cg01727431,871057,24,0.8343032617402668,20.0232782817664,28.76651824414372
chr1,cg20322444,886441,cg07983659,886485,44,0.3921666653036019,17.255333273358485,112.19719546009021
chr1,cg12663811,901685,cg07390924,901725,40,0.9137608588224292,36.55043435289717,43.77512957990815
chr1,cg12663811,901685,cg10110857,901755,70,0.7143939501989173,50.00757651392421,97.98515228258731
chr1,cg07390924,901725,cg10110857,901755,30,0.8457145160779951,25.37143548233985,35.47296331050948
chr1,cg07390924,901725,cg10375192,901799,74,0.9123801609884676,67.51613191314661,81.10654216749826
chr1,cg10110857,901755,cg10375192,901799,44,0.9045784009857724,39.801449643373985,48.64144440332713
chr1,cg10375192,901799,cg02056921,901892,93,0.8616360399621665,80.13215171648149,107.93420387114207
chr1,cg26679367,907618,cg06818851,907708,90,0.5276074106208443,47.48466695587599,170.58137961727172
chr1,cg05095110,934390,cg15578015,934409,19,-0.047733728014556,-0.906940832276564,-398.04140154747836
chr1,cg00447632,935861,cg26339484,935863,2,-0.0608486731394019,-0.1216973462788038,-32.86842418762492
chr1,cg17006413,942451,cg21472517,942471,20,0.9238778661550464,18.47755732310093,21.647883051073737
chr1,cg17006413,942451,cg18019572,942489,38,0.778246245492076,29.573357328698886,48.82773315015872
chr1,cg21472517,942471,cg18019572,942489,18,0.7429053130578547,13.372295635041384,24.229198100509784
chr1,cg24157008,945321,cg25552017,945416,95,0.8605998463388781,81.75698540219342,110.38812103458346
chr1,cg07008945,955720,cg11726631,955757,37,0.0382616771043284,1.4156820528601508,967.0250443834917
chr1,cg25774148,964497,cg17021880,964506,9,0.6152025377990846,5.536822840191761,14.62932846830885
chr1,cg01150641,976168,cg23625715,976172,4,0.5558350145502984,2.2233400582011935,7.196380032366662
chr1,cg01150641,976168,cg26222311,976227,59,0.553128811393393,32.63459987221019,106.66593166856096
chr1,cg23625715,976172,cg26222311,976227,55,0.908316901563092,49.95742958597006,60.551554094559236
chr1,cg09792712,983545,cg15469001,983611,66,0.4589403335480658,30.290062014172342,143.80954380225046
chr1,cg08387293,984383,cg24730157,984428,45,0.8826910210002231,39.72109594501004,50.98046647059824
chr1,cg07912402,989305,cg04274259,989392,87,0.081680708279468,7.106221620313716,1065.1229872093202
chr1,cg02482614,995013,cg17098415,995021,8,0.4970486581489913,3.9763892651919304,16.095003716119045
chr1,cg11405655,999599,cg25523405,999679,80,0.8039679973361095,64.31743978688876,99.50644834753906
chr1,cg08709360,1003376,cg01244934,1003417,41,0.6709604805542808,27.509379702725514,61.10643053988795
chr1,cg11754357,1046230,cg05527091,1046324,94,0.0714155782719264,6.713064357561082,1316.2394294712526
chr1,cg08881995,1051895,cg03705284,1051907,12,0.3019499064133208,3.6233988769598495,39.7416914035202
chr1,cg10126324,1052600,cg06036677,1052664,64,0.2325659822654577,14.884222864989292,275.19071953931984
chr1,cg11071912,1073424,cg00812770,1073510,86,0.4287404425353281,36.87167805803822,200.58756176917836
chr1,cg00812770,1073510,cg16254267,1073529,19,0.3213734186492227,6.106094954335231,59.12125551596535
chr1,cg24158844,1079561,cg25772221,1079622,61,0.8512252179443721,51.9247382946067,71.66141076894925
chr1,cg06193359,1097179,cg13560058,1097233,54,0.8927944414730449,48.210899839544425,60.48424753956128
chr1,cg06193359,1097179,cg00082285,1097270,91,0.8490136795868353,77.260244842402,107.18319644070318
chr1,cg13560058,1097233,cg00082285,1097270,37,0.9434858765283016,34.90897743154716,39.21627331205749
chr1,cg22521151,1098900,cg00207921,1098992,92,0.93187980075597,85.73294166954923,98.72517885393238
chr1,cg00207921,1098992,cg20544808,1099051,59,0.9264344744856712,54.6596339946546,63.68502211962162
chr1,cg04972348,1100035,cg06618740,1100126,91,0.6611882053512442,60.16812668696323,137.6310092398849
chr1,cg13449535,1101348,cg07123481,1101431,83,0.7653641581903349,63.525225129797796,108.44510957535473
chr1,cg02825344,1102294,cg02331673,1102389,95,0.6778524094639792,64.39597889907802,140.14850234894425
chr1,cg02331673,1102389,cg11203990,1102417,28,0.6843590088884471,19.16205224887652,40.91419801060016
chr1,cg21810793,1103225,cg16561256,1103266,41,0.9150128891295596,37.51552845431194,44.80811198080804
chr1,cg23651812,1104366,cg03528302,1104399,33,0.5342791952661079,17.63121344378156,61.765459505799626
chr1,cg02848157,1115070,cg24884961,1115083,13,0.7915580584284281,10.290254759569565,16.423305734276024
chr1,cg23400617,1137099,cg06778273,1137117,18,-0.2506656099292889,-4.5119809787272,-71.80881336325984
chr1,cg10583942,1142892,cg07119157,1142932,40,0.8071736608437401,32.286946433749605,49.555630888881986
chr1,cg14830045,1173264,cg10784110,1173356,92,0.7274069877038961,66.92144286875845,126.47665138659656
chr1,cg11229611,1217103,cg06909630,1217130,27,0.906190687090567,24.46714855144531,29.795053496617484
chr1,cg22421766,1217658,cg24576260,1217664,6,-0.0709051840268639,-0.42543110416118335,-84.62004693093775
chr1,cg18565510,1238702,cg27185793,1238797,95,0.3222048864068222,30.60946420864811,294.8434490222198
chr1,cg00262415,1242732,cg27440283,1242757,25,0.7492179912957743,18.730449782394356,33.368125552834684
chr1,cg06085743,1245014,cg05397202,1245040,26,0.8581720685490567,22.312473782275475,30.296954367157582
chr1,cg06085743,1245014,cg23931819,1245076,62,0.7813799294039153,48.44555562304275,79.3468038618517
chr1,cg05397202,1245040,cg23931819,1245076,36,0.7734570561477626,27.844454021319454,46.544277686597894
chr1,cg15736449,1248342,cg23689441,1248347,5,0.5855565490296247,2.9277827451481238,8.538884943368702
chr1,cg06520508,1261347,cg17970390,1261353,6,0.9369286331011664,5.621571798606999,6.40390291002254
chr1,cg07346648,1266657,cg08037114,1266700,43,0.4937055238299596,21.229337524688262,87.09645309702857
chr1,cg04910752,1267117,cg13246026,1267193,76,0.8716692697846953,66.24686450363684,87.18903216442655
chr1,cg04910752,1267117,cg21396988,1267201,84,0.859544482561379,72.20173653515585,97.72618137188923
chr1,cg13246026,1267193,cg21396988,1267201,8,0.9490002618340194,7.592002094672155,8.42992391228571
chr1,cg13246026,1267193,cg06802641,1267252,59,0.8456225719884143,49.89173174731644,69.77107985808159
chr1,cg21396988,1267201,cg06802641,1267252,51,0.8979212006769554,45.79398123452472,56.797857051988956
chr1,cg18386618,1268144,cg06395167,1268243,99,0.9397507191699178,93.03532119782186,105.34708617988262
chr1,cg01508988,1310123,cg07395004,1310147,24,0.6637178797614524,15.929229114274857,36.15994194495087
chr1,cg12033178,1321869,cg08158776,1321914,45,0.4622793082121392,20.802568869546263,97.34374695254492
chr1,cg22232737,1322783,cg01006034,1322789,6,0.636911783177047,3.821470699062282,9.420456896041028
chr1,cg23209302,1326152,cg01399319,1326204,52,0.8895496185360064,46.256580163872336,58.45654802885533
chr1,cg15633699,1356728,cg10380643,1356764,36,0.8534969443340359,30.72588999602529,42.17941287193474
chr1,cg12208770,1361666,cg26863172,1361729,63,0.166283781201286,10.475878215681018,378.87038377927365
chr1,cg17142722,1363280,cg04897188,1363291,11,0.530702081501333,5.837722896514663,20.72725995134875
chr1,cg14667273,1369934,cg27391934,1369948,14,0.4336249873481832,6.070749822874565,32.28596231415642
chr1,cg08589721,1370722,cg14271665,1370768,46,0.935484043335505,43.03226599343323,49.172404732832426
chr1,cg08589721,1370722,cg02896318,1370775,53,0.8880426134589503,47.066258513324364,59.68182066574885
chr1,cg14271665,1370768,cg02896318,1370775,7,0.8960002960364593,6.272002072255215,7.812497418767775
chr1,cg26690297,1477098,cg08464374,1477123,25,0.3742382362581608,9.35595590645402,66.80236698944425
chr1,cg21173317,1478665,cg03392564,1478680,15,0.923437374903566,13.85156062355349,16.24365702283432
chr1,cg08140609,1494641,cg20140735,1494726,85,0.6531393610693634,55.51684569089589,130.1406791053479
chr1,cg07147033,1549615,cg13897348,1549699,84,0.9036347106860204,75.90531569762571,92.95791651941853
chr1,cg19246761,1549799,cg01229567,1549818,19,0.8971020632677383,17.04493920208703,21.17930699076933
chr1,cg18123911,1550773,cg17271960,1550779,6,0.0940820241481042,0.5644921448886252,63.77413809204171
chr1,cg06912282,1563001,cg06080300,1563096,95,0.6175120997880813,58.66364947986772,153.84313932083637
chr1,cg15260978,1685832,cg12406875,1685854,22,0.6511567311515364,14.3254480853338,33.78602868942806
chr1,cg04407228,1710158,cg10388316,1710208,50,0.4202632439648986,21.01316219824493,118.97305014895882
chr1,cg26568075,1718809,cg25314445,1718835,26,0.842662370073433,21.90922162190926,30.854587701280945
chr1,cg26568075,1718809,cg12076692,1718852,43,0.8619729272586866,37.064835872123524,49.88555746959704
chr1,cg25314445,1718835,cg12076692,1718852,17,0.7739548442923766,13.157232352970402,21.96510574921593
chr1,cg18162783,1795891,cg04994975,1795945,54,0.2533889425113795,13.683002895614493,213.1111147345149
chr1,cg16384593,1840436,cg00309462,1840482,46,0.4815806742187987,22.15271101406474,95.51878317089738
chr1,cg08134829,1851083,cg10096055,1851165,82,0.1142891705317561,9.371711983604001,717.4783019115156
chr1,cg18231054,1858037,cg06092084,1858106,69,0.2958357417855783,20.4126661832049,233.23753777530771
chr1,cg15151929,1896429,cg13168877,1896470,41,0.6132682019455092,25.14399627976588,66.85492557731368
chr1,cg22344830,1935048,cg05700129,1935125,77,0.7940273696212364,61.1401074608352,96.9739872275816
chr1,cg09021225,1946325,cg00546307,1946355,30,0.9100341919949044,27.301025759847132,32.965794322778564
chr1,cg18392644,1951466,cg06063714,1951514,48,0.7716962225337493,37.041418681619966,62.20064139020815
chr1,cg00400948,1959442,cg19091116,1959497,55,0.55044575400043,30.274516470023652,99.91901944974768
chr1,cg04781796,1959747,cg26903053,1959813,66,0.4052314139799658,26.745273322677743,162.86990031642256
chr1,cg14522944,1961743,cg03700143,1961762,19,0.7154821924634821,13.59416165680616,26.55551766366254
chr1,cg14417954,1981217,cg26610624,1981268,51,0.6932513480078963,35.35581874840271,73.56639139116264
chr1,cg14417954,1981217,cg21137823,1981270,53,0.7717216775572094,40.901248910532104,68.67760948191194
chr1,cg26610624,1981268,cg21137823,1981270,2,0.8793085215714412,1.7586170431428825,2.2745145201433212
chr1,cg22865720,1981816,cg11345323,1981825,9,0.7652005355916982,6.886804820325284,11.761622713764398
chr1,cg02347356,1983003,cg05929117,1983033,30,0.9292354405190942,27.87706321557283,32.28460591563452
chr1,cg17740743,1986220,cg12391964,1986275,55,0.8851713885385502,48.68442636962026,62.13485965786465
chr1,cg17815669,2003198,cg08108679,2003274,76,0.5532456286695125,42.046667778882956,137.37117125131311
chr1,cg04314111,2003577,cg11227141,2003650,73,0.818085445780583,59.720237541982556,89.23273281111419
chr1,cg16653138,2005180,cg13387826,2005260,80,0.9566108809749124,76.528870477993,83.62856997661314
chr1,cg14418633,2005489,cg03001333,2005560,71,0.9659351119979956,68.5813929518577,73.50390219601762
chr1,cg14418633,2005489,cg13591369,2005564,75,0.755603002924971,56.670225219372824,99.25847264988604
chr1,cg03001333,2005560,cg13591369,2005564,4,0.7918619026548057,3.167447610619223,5.051385837087947
chr1,cg06821641,2016915,cg17495046,2017010,95,0.9379828143644232,89.10836736462021,101.2811733276499
chr1,cg24557048,2063799,cg06157219,2063875,76,0.9421465685271684,71.6031392080648,80.66685432905487
